id;identification;pais;provincia;partido;localidad;calle;altura;region;subregion;hub;barrios_especiales;codigo_postal;tipo_calle;zona_competencia;intersection_left;intersection_right;street_type;latitud;longitud;elementos_de_red
1;communities;Alabama hack payment;programming Chips transmit;Licensed Metrics Frozen;National bandwidth-monitored Venezuela;forecast;19698;Planner;enable deposit;Incredible withdrawal Vatu;Concrete programming;e-enable hacking Card;Strategist B2B scale;open-source;fresh-thinking;Yuan;Branding;monitoring;CSS;Republic empower
2;Internal;Avon Baby interface;e-enable;Unbranded Spurs;Litas Open-architected;SDD holistic invoice;34914;synergy Auto;drive District;transparent maroon;Tasty Tactics;Corporate Assistant mindshare;Brooks AI Avon;Bedfordshire New;Intelligent;Point Frozen;Strategist quantifying cross-platform;Trail;Concrete;Tools Road Granite
3;wireless applications;yellow;Italy PCI;Tasty;generate Gateway;deposit;4639;Operative silver front-end;International matrix;neutral Home Minnesota;primary Configuration;Louisiana;models Nebraska;Stream New;Money Exclusive Nicaragua;payment knowledge;lavender Investment;Kiribati Kansas;frictionless background;Central
4;bluetooth Granite;red;Pizza SCSI;Ergonomic Unbranded;Ergonomic sensor Union;Forks open-source;43833;Music parsing parse;Hat Row;Fresh Interface;deploy input;Bike Field;back Chair Fresh;Stream holistic;Israeli Mount Granite;Plaza;client-driven;De-engineered;Grass-roots Metal Plastic;executive hacking Credit
5;Solutions Shirt e-services;withdrawal Silver;EXE web-readiness;Avon Dynamic;Fresh boliviano;Specialist Buckinghamshire Pound;11869;Assistant;circuit Credit;Frozen Producer tangible;Cotton blue XSS;Bedfordshire XSS;AGP Mobility Danish;needs-based;Idaho open-source;functionalities incubate;plum Gloves;Cotton Island;Liaison invoice Rupee;index efficient
6;green;benchmark;Tennessee applications North;olive;Springs Accountability;application;30755;Islands bifurcated Hill;New Shoes payment;Avon leverage;teal Berkshire Pound;turquoise Borders withdrawal;Tuna;Small;Cambridgeshire bandwidth;plug-and-play HTTP;monitor digital background;green Business-focused Tasty;well-modulated User-friendly;Montana
7;Barbados infrastructures Producer;Key Orchestrator Intelligent;bus;Pizza Tasty Shirt;Investment systematic Web;solution Car Borders;90491;hacking channels connect;Grocery Incredible Bike;Baby;actuating overriding turquoise;SCSI Checking;Berkshire;synergistic copying Kwanza;sensor programming;needs-based Operations systems;Handmade encoding facilitate;primary;Accounts;Home
8;Specialist Beauty;copy;payment;Concrete Manors Planner;calculating;PNG Car;25120;Refined;bottom-line Fish optical;Generic;Implementation Arkansas;open-source;alliance Dollar;Granite strategic cross-platform;mint functionalities;monitoring Money;Buckinghamshire;Fantastic Integrated bus;deliverables Practical cutting-edge;quantifying Samoa
9;users Virginia Nigeria;Plastic Investor;payment;Books;Ergonomic bluetooth;Manat Maine multi-byte;99317;Peso Soap Pizza;Seychelles;Computer;networks Communications;neural Chair;Loan;partnerships deposit Bedfordshire;deposit withdrawal bypassing;Mount interactive Bulgaria;architecture Checking;Ergonomic Tuna;Albania;Graphic Franc
10;Cambridgeshire Self-enabling;Health Small;Utah;Intelligent;Hat;Chair;54288;Cambridgeshire Account function;redundant override magnetic;client-driven actuating;Austria capability;withdrawal;Wooden;transmitting navigate bypass;Solutions;Home Tennessee;front-end;Unbranded;Practical calculate View;viral
