id;a_1;a_2;a_3;a_4;a_5
1;Liberia invoice connect;haptic Planner;Gloves Cotton transmitter;software Table;Bedfordshire
2;Arab Mobility Rubber;Baby;Trail Representative Legacy;multi-byte;Granite
3;gold Money quantify;Avon repurpose application;deposit Libyan Buckinghamshire;Public-key monitor;Human Frozen calculating
4;Massachusetts Borders;tolerance;attitude Incredible;multi-byte;Fantastic
5;Islands Ohio Franc;Concrete Fresh;invoice fuchsia front-end;PCI;Tuna
6;Fresh disintermediate;Incredible;help-desk Games;Falkland Wyoming;mesh
7;Islands;synthesizing Isle Arkansas;Chile Interactions magenta;hard Shoes SMTP;microchip
8;Buckinghamshire teal;multi-byte;CSS deposit platforms;sensor Ecuador Arizona;framework Corporate Savings
9;value-added Kiribati;quantify;Handcrafted Accounts;Pizza Handmade;Netherlands
10;Checking e-business;compress Jamaica;Chips Dynamic;Granite River;invoice Cambridgeshire
