id;nombre;contacto;fecha_fin_obra;codigo_obra;elementos_de_red;clientes_catv;clientes_fibertel;clientes_fibertel_lite;clientes_flow;clientes_combo;lineas_voz;meses_de_finalizado;altas_bc;penetracion_viv_lot;penetracion_bc;demanda_1;demanda_2;demanda_3;demanda_4;demanda_5;lotes;viviendas;com_prof;habitaciones;manzanas;demanda;fecha_de_relevamiento;telefono;ano_priorizacion;contrato_open;negociacion;fecha;codigo_de_firma;fecha_firma;observaciones;comentario;comen_can;estado_firma;estado;estado_bc
1;Frozen 1080p black;Connecticut Harbors;2022-02-16;Officer;Gorgeous;Granite;deposit San;hacking Orchestrator;Buckinghamshire Borders;Spurs Stravenue Handcrafted;invoice;PCI Rubber;yellow copy well-modulated;Italy;Auto;transmit;scalable;Pizza revolutionize Sleek;bandwidth Pound;IB;Loan (customarily Island;Village killer Union;neural Sleek optical;Buckinghamshire;morph;Intelligent Automotive Buckinghamshire;2022-02-16;deposit Plastic;2022-02-16;infrastructures best-of-breed;false;2022-02-16;schemas Frozen;2022-02-15;Sleek New;impactful Afghani;bluetooth integrated Borders;APROBADO_POR_CIC;EN_OBRA;APROBADO
2;target;overriding Chicken;2022-02-16;embrace;Algeria;implementation;up Fork Loan;payment;white Berkshire;Generic;Tuna;system program;program Technician transmit;Berkshire encompassing;Account Avon Unbranded;facilitate;application Malawi methodologies;Frozen Usability;solution-oriented cross-platform Street;Territories;Wooden;content Fresh Architect;fuchsia;payment;haptic card Liaison;Yemeni;2022-02-15;Computers portals;2022-02-16;XML primary Jersey;true;2022-02-15;Automotive;2022-02-16;withdrawal;open-source;Checking Qatar Ergonomic;NO_APROBADO;PROSPECTO;APROBADO
3;pink;benchmark;2022-02-15;Isle Investor Car;bifurcated Product;Reduced Monitored;Chief calculate;Dollar;Account Centralized;Principal parsing hierarchy;Corporate Shoes;web-enabled Cambridgeshire;programming;methodology Maine Small;bus HDD;knowledge ubiquitous Beauty;Vermont;Tala;Research Account;Maldives;Dollar;Bedfordshire;Buckinghamshire neural Officer;partnerships Loan;systems;optical Meadow frame;2022-02-15;Avon Dakota whiteboard;2022-02-15;Faso;false;2022-02-16;encryption array;2022-02-16;initiative collaboration District;Keyboard;Platinum Account Shoes;FIRMADO;EN_OBRA;NO_APROBADO
4;innovative Ohio;Island;2022-02-15;Manager Ball Agent;Plastic;Ball;Buckinghamshire Rubber;Macao;application;Account;Director cyan;Isle Account;Phased Berkshire;Gorgeous Andorra transmit;SAS platforms embrace;Hill;Branding;Public-key;Massachusetts Kwacha transparent;encryption;Manors;utilize;Bike HTTP;parse;Communications synergy Bacon;Cambridgeshire communities deploy;2022-02-16;users help-desk;2022-02-15;GB Soft;true;2022-02-16;standardization explicit;2022-02-15;invoice Arizona;Executive Rubber;Liaison Cloned Forest;APROBADO_POR_CIC;TERMINADO;NO_APROBADO
5;Fresh withdrawal benchmark;index synthesizing;2022-02-16;Direct hardware Parks;schemas intangible Greece;Unit Pizza Manager;Indiana SSL infomediaries;open-source panel Diverse;channels America;compressing;interface Soft Account;invoice;Borders white;deliverables;Rufiyaa redundant transmit;systematic Forint revolutionary;enterprise;Tools;override synthesize Beauty;system;mobile bypass;Manager;Pennsylvania;Bacon green Chips;parse;digital neural;2022-02-16;feed Pound pixel;2022-02-16;Direct;false;2022-02-16;Refined Handmade Rupee;2022-02-15;Ameliorated withdrawal open-source;Borders;Market Chips connect;APROBADO_POR_CIC;REQUERIDO;APROBADO
6;plug-and-play Tasty seamless;asynchronous;2022-02-16;Chief technologies cross-platform;COM Analyst Integration;parse Soft;parse deposit Avon;Trafficway Vision-oriented Serbian;Steel;group Soft;integrate Security Tasty;Tennessee explicit;Rustic SAS Mariana;solution-oriented;Kentucky Pass;bandwidth Bridge;Engineer;Ngultrum Steel sticky;open;New matrix;out-of-the-box Fish Engineer;Virginia New Oval;Agent Corporate clicks-and-mortar;Unbranded Mall expedite;Regional web payment;Yuan Factors copying;2022-02-15;Checking SMS;2022-02-16;hardware pixel;false;2022-02-16;Human Group;2022-02-16;e-services;Shoes;Frozen synergy Brand;FIRMADO;CANCELADO;NO_APROBADO
7;Minnesota Florida zero;Loop Global ADP;2022-02-15;Berkshire seamless Usability;zero;quantifying bypass;capability Optimization Cambridgeshire;best-of-breed;embrace;Designer Wyoming;synthesize 24/7;connect migration;Refined;Koruna;process Hat reintermediate;override Fish Road;Fantastic Future Manager;human-resource Chad;gold;Texas transition support;Savings open-source;Pants interactive;Fantastic Facilitator CSS;turn-key;open-source Implementation;Functionality;2022-02-15;withdrawal seize Iowa;2022-02-15;standardization streamline feed;false;2022-02-15;Investment;2022-02-15;Intranet Lodge Drive;JBOD salmon;Identity;FIRMADO;CANCELADO;APROBADO
8;AI Bedfordshire virtual;up orchid Frozen;2022-02-16;Technician models red;haptic Borders;Buckinghamshire;Account solid Technician;Gardens Optimization CSS;mission-critical;compressing Roads;Dynamic;Up-sized Account;Incredible Regional IB;SQL Haven blue;tan calculate Keyboard;Incredible Grass-roots;bi-directional Realigned;Rubber;circuit process West;Home Ergonomic;Pennsylvania Assistant;haptic gold Forward;Arkansas up;Pound Connecticut;Dynamic invoice Checking;architect invoice Bhutan;2022-02-16;Practical Beauty Generic;2022-02-16;Small;true;2022-02-15;Assistant;2022-02-16;Wooden SQL intuitive;payment matrix override;Ford Dollar;FIRMADO;EVALUACION_ECONOMICA;NO_APROBADO
9;solid FTP indexing;enhance Switzerland stable;2022-02-15;Cambridgeshire;content-based indexing Incredible;grid-enabled silver;compressing turn-key Solutions;open-source Assistant;Facilitator Gorgeous;invoice whiteboard Analyst;Shoes;Chicken;Salad Gorgeous Salad;generating Industrial;Computer National Maine;copy back-end;Planner National;blue Central;Granite;Computers Vermont Refined;Canyon compressing Somalia;Chair Assistant Down-sized;Loan Metal;microchip compress cross-platform;withdrawal indigo;Future;2022-02-15;well-modulated Networked;2022-02-16;networks Parkways Garden;true;2022-02-16;JSON bypassing;2022-02-16;Lari;ROI evolve unleash;Jewelery Prairie;FIRMADO;TERMINADO;NO_APROBADO
10;Romania red;Station International Regional;2022-02-16;Liaison markets;override Chips;analyzing;Gold Cambridgeshire bandwidth;Programmable Cotton architectures;empowering Strategist Indiana;Parkway;info-mediaries;Mouse;Virgin Response array;Dynamic;Buckinghamshire;generating deposit blue;bus;Granite Forks;Borders;Outdoors Director;Rubber;Zloty Liaison;Fresh Awesome Versatile;bus;Tuna;Orchestrator tan Ergonomic;2022-02-15;Senior transmit invoice;2022-02-16;Mexico Human Developer;false;2022-02-16;Texas encoding Metal;2022-02-15;Sleek;Division Loan Soft;Computer blue;APROBADO_POR_CIC;EVALUACION_ECONOMICA;NO_APROBADO
